Obtaining average intraday spreads for all nodes: 
Sorting dictionary
Number of nodes:  2404
Top 5
('02PTI-85', 1149.882408056042) 1142
('02CCS-115', 1149.8762171628723) 1142
('02MAZ-115', 1149.81942206655) 1142
('05CEJ-115', 1149.7840192644485) 1142
('05WER-115', 1149.7481523642732) 1142
('06OXF-115', 1149.735540691193) 897
('05GEM-115', 1149.72027145359) 1142
('02TLD-115', 1149.6906304728548) 1142
('05INJ-115', 1149.596856392294) 1142
('02PSF-115', 1149.4197373029774) 1142
('02AXT-115', 1149.4172942206653) 1142
('05INS-115', 1149.3855866900176) 1142
('05CME2115', 1149.329054290718) 1142
('02CIO-85', 1149.3210420315238) 1142
('02CAC-115', 1149.2967338003502) 1142
('02MPE-115', 1149.2594921190891) 1142
('02CIY-115', 1149.2544220665498) 1142
('05MCO-115', 1149.0372416812609) 1142
('05VIU-115', 1148.9536077057794) 1142
('05LXD-115', 1148.8744045534152) 1142
('05BOQ-115', 1148.8631436077058) 1142
('05YMO-115', 1148.7288616462345) 1142
('05FLE-115', 1148.675227670753) 1142
('02CAE-115', 1148.6497985989492) 1142
('05CJM-115', 1148.61823117338) 1142
('05MRT-115', 1148.5098336252188) 1142
('02PON-115', 1148.3202626970226) 1142
('05DUN-115', 1148.2634763572678) 1142
('05CMS-115', 1148.2044921190893) 1142
('02SOY-115', 1148.1930122591943) 1142
('02LBD-115', 1148.076707530648) 1142
('02CEF-115', 1148.0426882661995) 1142
('02FUE-115', 1148.0411996497376) 1142
('02CLT-69', 1148.0204465849388) 1142
('02GLM-115', 1147.8642644483361) 1142
('05CLN-115', 1147.7758318739054) 1142
('05VEZ-115', 1147.5735113835378) 1142
('02TLZ-85', 1147.541401050788) 1142
('02BCH-115', 1146.6830385288968) 1142
('02ERZ-115', 1146.6185026269702) 1142
('05SAB-115', 1146.5428721541155) 1142
('02CUE-85', 1146.4774518388792) 1142
('03KIT-115', 1146.4723521681997) 761
('02CYX-115', 1146.4047985989491) 1142
('02PMO-115', 1146.4047985989491) 1142
('02INT-115', 1146.108152364273) 1142
('02AGA-115', 1145.9894133099824) 1142
('02MOA-115', 1145.9820140105078) 1142
('05CGR-115', 1145.9314098073555) 1142
('02SNT-115', 1145.9056917688267) 1142
('02IDE-115', 1145.893520140105) 1142
('02TNZ-115', 1145.8739667250438) 1142
('02TDD-115', 1145.6822504378285) 1142
('02GIA-115', 1145.6164711033275) 1142
('02MIU-115', 1145.4535726795095) 1142
('02CTX-115', 1145.425963222417) 1142
('02TBH-85', 1145.3568476357268) 1142
('05CGD-115', 1145.1786478873237) 1065
('02ACY-115', 1145.15380910683) 1142
('02HJO-115', 1145.1211733800349) 1142
('05NAI-115', 1145.0444395796849) 1142
('02GAN-115', 1144.897031523643) 1142
('02DXM-115', 1144.8902364273204) 1142
('02VIS-115', 1144.8411733800351) 1142
('02TMX-85', 1144.814465849387) 1142
('02ZNT-115', 1144.7048598949214) 1142
('02SMG-115', 1144.654851138354) 1142
('02LSL-115', 1144.6120052539404) 1142
('02TGD-115', 1144.6043169877407) 1142
('02TPL-115', 1144.523309982487) 1142
('03RGR-115', 1144.5144308231172) 1142
('02AMF-115', 1144.505122591944) 1142
('02CUS-115', 1144.4463660245183) 1142
('04CSA-115', 1144.3686427320492) 1142
('02CIT-115', 1144.293021015762) 1142
('04AGS-115', 1144.289343257443) 1142
('02GDM-115', 1144.110043782837) 1142
('05MBA-115', 1144.0990280210158) 1142
('02TKN-115', 1144.09527145359) 1142
('02RLC-115', 1144.0243782837126) 1142
('02CPO-115', 1144.0031786339755) 1142
('01PNT-85', 1143.9649737302977) 1142
('02CPQ-115', 1143.9239579684765) 1142
('02CDX-115', 1143.7322243166825) 1061
('02LOA-115', 1143.5786164623466) 1142
('04SNY-115', 1143.5520227670752) 1142
('05RCS-115', 1143.5209019264448) 1142
('02PEI-115', 1143.4630385288967) 1142
('02LHD-115', 1143.4616287215413) 1142
('02IPD-115', 1143.4600875656743) 1142
('02OCZ-115', 1143.454544658494) 1142
('02UNL-115', 1143.4417075306478) 1142
('02MAR-115', 1143.352302977233) 1142
('03PNQ-400', 1143.2452276707531) 1142
('05LZM-115', 1143.2426094570928) 1142
('02ECN-115', 1143.1995534150615) 1142
('04ETO-115', 1143.1912609457092) 1142
('02PFR-115', 1143.1755866900176) 1142
('05LAP-115', 1143.1004991243433) 1142
('02VSE-115', 1143.0572679509633) 1142
('02POZ-115', 1143.0112434325742) 1142
('02MET-115', 1142.9809982486865) 1142
('02TTM-115', 1142.9398161120841) 1142
